use_ff_moe = False
use_conv_moe_b3 = False
use_conv_moe_b7 = False
num_expert = 8
moe_top_k = 2

lr = 0.1
weight_decay = 5e-5
num_epochs = 180
momentum = 0.9
gamma = 0.1
milestones = [100, 150]
batch_size = 128
resize = 32

Files already downloaded and verified
training on cuda:0
epoch  0, loss 2.048, train acc 0.271, test acc 0.410
epoch 34, loss 0.127, train acc 0.955, test acc 0.893
epoch 35, loss 0.122, train acc 0.957, test acc 0.900
epoch 36, loss 0.118, train acc 0.958, test acc 0.896
epoch 37, loss 0.116, train acc 0.959, test acc 0.890
epoch 38, loss 0.114, train acc 0.959, test acc 0.896
epoch 39, loss 0.109, train acc 0.961, test acc 0.897
epoch 40, loss 0.104, train acc 0.963, test acc 0.900
epoch 41, loss 0.101, train acc 0.964, test acc 0.900
epoch 42, loss 0.104, train acc 0.962, test acc 0.897
epoch 43, loss 0.098, train acc 0.965, test acc 0.899
epoch 44, loss 0.097, train acc 0.966, test acc 0.901
epoch 45, loss 0.087, train acc 0.969, test acc 0.894
epoch 46, loss 0.098, train acc 0.965, test acc 0.902
epoch 47, loss 0.087, train acc 0.969, test acc 0.903
epoch 48, loss 0.086, train acc 0.970, test acc 0.902
epoch 49, loss 0.089, train acc 0.970, test acc 0.893
epoch 50, loss 0.086, train acc 0.970, test acc 0.903
epoch 51, loss 0.087, train acc 0.969, test acc 0.899
epoch 52, loss 0.078, train acc 0.973, test acc 0.889
epoch 53, loss 0.084, train acc 0.971, test acc 0.898
epoch 54, loss 0.079, train acc 0.972, test acc 0.885
epoch 55, loss 0.077, train acc 0.973, test acc 0.893
epoch 56, loss 0.072, train acc 0.975, test acc 0.896
epoch 57, loss 0.079, train acc 0.972, test acc 0.904
epoch 58, loss 0.076, train acc 0.973, test acc 0.895
epoch 59, loss 0.076, train acc 0.974, test acc 0.906
epoch 60, loss 0.071, train acc 0.975, test acc 0.900
epoch 61, loss 0.073, train acc 0.975, test acc 0.889
epoch 62, loss 0.069, train acc 0.976, test acc 0.906
epoch 63, loss 0.069, train acc 0.976, test acc 0.907
epoch 64, loss 0.067, train acc 0.977, test acc 0.891
epoch 65, loss 0.068, train acc 0.977, test acc 0.904
epoch 66, loss 0.072, train acc 0.975, test acc 0.910
epoch 67, loss 0.069, train acc 0.976, test acc 0.904
epoch 68, loss 0.070, train acc 0.976, test acc 0.904
epoch 69, loss 0.068, train acc 0.976, test acc 0.900
epoch 70, loss 0.069, train acc 0.976, test acc 0.905
epoch 71, loss 0.068, train acc 0.975, test acc 0.897
epoch 72, loss 0.069, train acc 0.976, test acc 0.905
epoch 73, loss 0.062, train acc 0.978, test acc 0.890
epoch 74, loss 0.065, train acc 0.978, test acc 0.903
epoch 75, loss 0.061, train acc 0.979, test acc 0.899
epoch 76, loss 0.065, train acc 0.978, test acc 0.901
epoch 77, loss 0.069, train acc 0.976, test acc 0.906
epoch 78, loss 0.058, train acc 0.980, test acc 0.902
epoch 79, loss 0.064, train acc 0.977, test acc 0.904
epoch 80, loss 0.063, train acc 0.978, test acc 0.914
epoch 81, loss 0.063, train acc 0.978, test acc 0.913
epoch 82, loss 0.062, train acc 0.978, test acc 0.897
epoch 83, loss 0.065, train acc 0.978, test acc 0.902
epoch 84, loss 0.057, train acc 0.980, test acc 0.902
epoch 85, loss 0.062, train acc 0.978, test acc 0.896
epoch 86, loss 0.060, train acc 0.980, test acc 0.910
epoch 87, loss 0.064, train acc 0.978, test acc 0.900
epoch 88, loss 0.061, train acc 0.979, test acc 0.901
epoch 89, loss 0.064, train acc 0.978, test acc 0.910
epoch 90, loss 0.054, train acc 0.982, test acc 0.901
epoch 91, loss 0.059, train acc 0.980, test acc 0.911
epoch 92, loss 0.062, train acc 0.978, test acc 0.902
epoch 93, loss 0.057, train acc 0.980, test acc 0.897
epoch 94, loss 0.056, train acc 0.980, test acc 0.905
epoch 95, loss 0.064, train acc 0.978, test acc 0.908
epoch 96, loss 0.055, train acc 0.981, test acc 0.898
epoch 97, loss 0.059, train acc 0.979, test acc 0.889
epoch 98, loss 0.054, train acc 0.981, test acc 0.905
epoch 99, loss 0.063, train acc 0.978, test acc 0.903
epoch 100, loss 0.025, train acc 0.992, test acc 0.929
epoch 101, loss 0.013, train acc 0.997, test acc 0.931
epoch 102, loss 0.010, train acc 0.998, test acc 0.932
epoch 103, loss 0.009, train acc 0.998, test acc 0.933
epoch 104, loss 0.007, train acc 0.998, test acc 0.933
epoch 105, loss 0.006, train acc 0.999, test acc 0.932
epoch 106, loss 0.005, train acc 0.999, test acc 0.934
epoch 107, loss 0.005, train acc 0.999, test acc 0.934
epoch 108, loss 0.005, train acc 0.999, test acc 0.935
epoch 109, loss 0.004, train acc 0.999, test acc 0.935
epoch 110, loss 0.004, train acc 0.999, test acc 0.937
epoch 111, loss 0.003, train acc 0.999, test acc 0.936
epoch 112, loss 0.004, train acc 0.999, test acc 0.936
epoch 113, loss 0.003, train acc 0.999, test acc 0.935
epoch 114, loss 0.003, train acc 1.000, test acc 0.933
epoch 115, loss 0.003, train acc 1.000, test acc 0.934
epoch 116, loss 0.003, train acc 1.000, test acc 0.936
epoch 117, loss 0.002, train acc 1.000, test acc 0.937
epoch 118, loss 0.002, train acc 1.000, test acc 0.936
epoch 119, loss 0.002, train acc 1.000, test acc 0.936
epoch 120, loss 0.002, train acc 1.000, test acc 0.937
epoch 121, loss 0.002, train acc 1.000, test acc 0.935
epoch 122, loss 0.002, train acc 1.000, test acc 0.935
epoch 123, loss 0.002, train acc 1.000, test acc 0.936
epoch 124, loss 0.002, train acc 1.000, test acc 0.937
epoch 125, loss 0.002, train acc 1.000, test acc 0.937
epoch 126, loss 0.002, train acc 1.000, test acc 0.937
epoch 127, loss 0.002, train acc 1.000, test acc 0.937

use_ff_moe = False
use_conv_moe = [False, True, True, True]
num_expert = 8
moe_top_k = 2

lr = 0.1
weight_decay = 5e-5
num_epochs = 180
momentum = 0.9
gamma = 0.1
milestones = [100, 150]
batch_size = 128
resize = 32

epoch  0, loss 1.798, train acc 0.349, test acc 0.467
epoch  1, loss 1.332, train acc 0.513, test acc 0.578
epoch  2, loss 1.074, train acc 0.618, test acc 0.656
epoch  3, loss 0.902, train acc 0.680, test acc 0.678
epoch  4, loss 0.783, train acc 0.724, test acc 0.720
epoch  5, loss 0.672, train acc 0.765, test acc 0.768
epoch  6, loss 0.589, train acc 0.796, test acc 0.769
epoch  7, loss 0.537, train acc 0.813, test acc 0.778
epoch  8, loss 0.484, train acc 0.832, test acc 0.820
epoch  9, loss 0.444, train acc 0.846, test acc 0.831
epoch 10, loss 0.411, train acc 0.860, test acc 0.850
epoch 11, loss 0.379, train acc 0.869, test acc 0.826
epoch 12, loss 0.358, train acc 0.875, test acc 0.860
epoch 13, loss 0.334, train acc 0.884, test acc 0.860
epoch 14, loss 0.351, train acc 0.879, test acc 0.850
epoch 15, loss 0.310, train acc 0.892, test acc 0.870
epoch 16, loss 0.285, train acc 0.900, test acc 0.861
epoch 17, loss 0.277, train acc 0.904, test acc 0.848
epoch 18, loss 0.250, train acc 0.911, test acc 0.876
epoch 19, loss 0.237, train acc 0.918, test acc 0.871
epoch 20, loss 0.226, train acc 0.921, test acc 0.888
epoch 21, loss 0.212, train acc 0.925, test acc 0.876
epoch 22, loss 0.206, train acc 0.927, test acc 0.881
epoch 23, loss 0.193, train acc 0.931, test acc 0.887
epoch 24, loss 0.186, train acc 0.934, test acc 0.881
epoch 25, loss 0.171, train acc 0.939, test acc 0.891
epoch 26, loss 0.172, train acc 0.940, test acc 0.881
epoch 27, loss 0.160, train acc 0.943, test acc 0.878
epoch 28, loss 0.156, train acc 0.945, test acc 0.885
epoch 29, loss 0.146, train acc 0.947, test acc 0.882
epoch 30, loss 0.142, train acc 0.949, test acc 0.898
epoch 31, loss 0.137, train acc 0.951, test acc 0.898
epoch 32, loss 0.131, train acc 0.953, test acc 0.892
epoch 33, loss 0.127, train acc 0.954, test acc 0.898
epoch 34, loss 0.118, train acc 0.959, test acc 0.896
epoch 35, loss 0.119, train acc 0.958, test acc 0.884
epoch 36, loss 0.115, train acc 0.958, test acc 0.896
epoch 37, loss 0.110, train acc 0.961, test acc 0.893
epoch 38, loss 0.113, train acc 0.959, test acc 0.891
epoch 39, loss 0.101, train acc 0.965, test acc 0.894
epoch 40, loss 0.099, train acc 0.964, test acc 0.904
epoch 41, loss 0.097, train acc 0.965, test acc 0.898
epoch 42, loss 0.098, train acc 0.965, test acc 0.898
epoch 43, loss 0.095, train acc 0.967, test acc 0.902
epoch 44, loss 0.088, train acc 0.969, test acc 0.889
epoch 45, loss 0.089, train acc 0.969, test acc 0.892
epoch 46, loss 0.086, train acc 0.970, test acc 0.897
epoch 47, loss 0.088, train acc 0.969, test acc 0.896
epoch 48, loss 0.086, train acc 0.969, test acc 0.898
epoch 49, loss 0.079, train acc 0.972, test acc 0.912
epoch 50, loss 0.083, train acc 0.970, test acc 0.902
epoch 51, loss 0.081, train acc 0.972, test acc 0.909
epoch 52, loss 0.082, train acc 0.971, test acc 0.901
epoch 53, loss 0.077, train acc 0.974, test acc 0.900
epoch 54, loss 0.079, train acc 0.972, test acc 0.907
epoch 55, loss 0.075, train acc 0.973, test acc 0.883
epoch 56, loss 0.074, train acc 0.974, test acc 0.894
epoch 57, loss 0.076, train acc 0.973, test acc 0.894
epoch 58, loss 0.075, train acc 0.974, test acc 0.907
epoch 59, loss 0.070, train acc 0.975, test acc 0.905
epoch 60, loss 0.073, train acc 0.975, test acc 0.900
epoch 61, loss 0.072, train acc 0.974, test acc 0.897
epoch 62, loss 0.070, train acc 0.975, test acc 0.892
epoch 63, loss 0.069, train acc 0.976, test acc 0.901
epoch 64, loss 0.068, train acc 0.976, test acc 0.900
epoch 65, loss 0.068, train acc 0.976, test acc 0.893
epoch 66, loss 0.066, train acc 0.977, test acc 0.901
epoch 67, loss 0.068, train acc 0.977, test acc 0.903
epoch 68, loss 0.063, train acc 0.978, test acc 0.903
epoch 69, loss 0.068, train acc 0.976, test acc 0.894
epoch 70, loss 0.068, train acc 0.976, test acc 0.908
epoch 71, loss 0.061, train acc 0.979, test acc 0.896
epoch 72, loss 0.066, train acc 0.977, test acc 0.896
epoch 73, loss 0.063, train acc 0.978, test acc 0.890
epoch 74, loss 0.075, train acc 0.974, test acc 0.890
epoch 75, loss 0.056, train acc 0.981, test acc 0.897
epoch 76, loss 0.063, train acc 0.978, test acc 0.902
epoch 77, loss 0.057, train acc 0.981, test acc 0.906
epoch 78, loss 0.063, train acc 0.978, test acc 0.910
epoch 79, loss 0.065, train acc 0.977, test acc 0.909
epoch 80, loss 0.058, train acc 0.980, test acc 0.913
epoch 81, loss 0.066, train acc 0.976, test acc 0.900
epoch 82, loss 0.057, train acc 0.980, test acc 0.906
epoch 83, loss 0.057, train acc 0.980, test acc 0.905
epoch 84, loss 0.065, train acc 0.978, test acc 0.909
epoch 85, loss 0.056, train acc 0.981, test acc 0.898
epoch 86, loss 0.059, train acc 0.980, test acc 0.904
epoch 87, loss 0.057, train acc 0.980, test acc 0.896
epoch 88, loss 0.063, train acc 0.978, test acc 0.908
epoch 89, loss 0.060, train acc 0.979, test acc 0.905
epoch 90, loss 0.062, train acc 0.978, test acc 0.906
epoch 91, loss 0.053, train acc 0.981, test acc 0.900
epoch 92, loss 0.058, train acc 0.980, test acc 0.916
epoch 93, loss 0.057, train acc 0.980, test acc 0.906
epoch 94, loss 0.057, train acc 0.980, test acc 0.899
epoch 95, loss 0.054, train acc 0.981, test acc 0.907
epoch 96, loss 0.059, train acc 0.979, test acc 0.902
epoch 97, loss 0.059, train acc 0.979, test acc 0.907
epoch 98, loss 0.057, train acc 0.980, test acc 0.908
epoch 99, loss 0.053, train acc 0.982, test acc 0.907
epoch 100, loss 0.022, train acc 0.993, test acc 0.932
epoch 101, loss 0.011, train acc 0.997, test acc 0.934
epoch 102, loss 0.008, train acc 0.998, test acc 0.934
epoch 103, loss 0.006, train acc 0.998, test acc 0.935
epoch 104, loss 0.006, train acc 0.998, test acc 0.934
epoch 105, loss 0.005, train acc 0.998, test acc 0.934
epoch 106, loss 0.005, train acc 0.999, test acc 0.935
epoch 107, loss 0.004, train acc 0.999, test acc 0.937
epoch 108, loss 0.004, train acc 0.999, test acc 0.937
epoch 109, loss 0.003, train acc 0.999, test acc 0.936
epoch 110, loss 0.003, train acc 0.999, test acc 0.937
epoch 111, loss 0.003, train acc 0.999, test acc 0.937
epoch 112, loss 0.002, train acc 0.999, test acc 0.937
epoch 113, loss 0.003, train acc 0.999, test acc 0.939
epoch 114, loss 0.002, train acc 1.000, test acc 0.938
epoch 115, loss 0.002, train acc 1.000, test acc 0.939
epoch 116, loss 0.002, train acc 1.000, test acc 0.938
epoch 117, loss 0.002, train acc 1.000, test acc 0.939
epoch 118, loss 0.001, train acc 1.000, test acc 0.938
epoch 119, loss 0.002, train acc 0.999, test acc 0.939
epoch 120, loss 0.001, train acc 1.000, test acc 0.938
epoch 121, loss 0.002, train acc 1.000, test acc 0.939
epoch 122, loss 0.002, train acc 1.000, test acc 0.939
epoch 123, loss 0.002, train acc 1.000, test acc 0.938
epoch 124, loss 0.001, train acc 1.000, test acc 0.939
epoch 125, loss 0.002, train acc 1.000, test acc 0.938
epoch 126, loss 0.002, train acc 1.000, test acc 0.939
epoch 127, loss 0.001, train acc 1.000, test acc 0.939
epoch 128, loss 0.001, train acc 1.000, test acc 0.938
epoch 129, loss 0.001, train acc 1.000, test acc 0.938
epoch 130, loss 0.001, train acc 1.000, test acc 0.940
epoch 131, loss 0.001, train acc 1.000, test acc 0.940
epoch 132, loss 0.001, train acc 1.000, test acc 0.941
epoch 133, loss 0.001, train acc 1.000, test acc 0.940
epoch 134, loss 0.001, train acc 1.000, test acc 0.940
epoch 135, loss 0.001, train acc 1.000, test acc 0.940
epoch 136, loss 0.001, train acc 1.000, test acc 0.941
epoch 137, loss 0.001, train acc 1.000, test acc 0.941
epoch 138, loss 0.001, train acc 1.000, test acc 0.940
epoch 139, loss 0.001, train acc 1.000, test acc 0.942
epoch 140, loss 0.001, train acc 1.000, test acc 0.940
epoch 141, loss 0.001, train acc 1.000, test acc 0.941
epoch 142, loss 0.001, train acc 1.000, test acc 0.941
epoch 143, loss 0.001, train acc 1.000, test acc 0.941
epoch 144, loss 0.001, train acc 1.000, test acc 0.941
epoch 145, loss 0.001, train acc 1.000, test acc 0.942
epoch 146, loss 0.001, train acc 1.000, test acc 0.940
epoch 147, loss 0.001, train acc 1.000, test acc 0.940
epoch 148, loss 0.001, train acc 1.000, test acc 0.941
epoch 149, loss 0.001, train acc 1.000, test acc 0.942
epoch 150, loss 0.001, train acc 1.000, test acc 0.941
epoch 151, loss 0.001, train acc 1.000, test acc 0.942
epoch 152, loss 0.001, train acc 1.000, test acc 0.941
epoch 153, loss 0.001, train acc 1.000, test acc 0.942
epoch 154, loss 0.001, train acc 1.000, test acc 0.942
epoch 155, loss 0.001, train acc 1.000, test acc 0.942
epoch 156, loss 0.001, train acc 1.000, test acc 0.942
epoch 157, loss 0.001, train acc 1.000, test acc 0.941
